20
Jefferson County
-103.1944810000 33.0682888571
-103.0687030000 33.0602885015
-103.0582120000 33.0833752850
-103.0111390000 33.0675662129
48
45
-96.2993770000 31.9126168394
-96.5108410000 31.8450309980
-96.5597080000 31.8472552909
-96.6405870000 31.8160577727
-96.6862720000 31.7610008643
-96.7327880000 31.7541016702
-96.7419970000 31.7007836198
-96.7945560000 31.6584554850
-96.7660370000 31.6335328356
-96.6860120000 31.6582241700
-96.6473850000 31.6402003916
-96.6220170000 31.5241265128
-96.6007770000 31.5475000942
-96.2889020000 31.5847822414
-96.2599180000 31.5616471803
-96.1637040000 31.5345354909
-96.1453550000 31.5540563225
-96.1516720000 31.5604442113
-96.1352460000 31.5543093815
-96.1548230000 31.5946846653
-96.1896510000 31.6020782334
-96.1799010000 31.6114861890
-96.1917500000 31.6298812245
-96.1746290000 31.6336299669
-96.1806110000 31.6510883330
-96.1530530000 31.6386323361
-96.1648940000 31.7084525121
-96.1464080000 31.7245440541
-96.1316150000 31.7164817985
-96.1133190000 31.7378068794
-96.0985870000 31.7209913607
-96.0935360000 31.7330408800
-96.1038210000 31.7459377786
-96.0800250000 31.7512842338
-96.0992970000 31.7694980978
-96.0854640000 31.8053485972
-96.1004330000 31.8115571786
-96.0947040000 31.8304374743
-96.1213840000 31.8263451837
-96.1549300000 31.8554403690
-96.1506350000 31.9013433593
-96.1746060000 31.9063308608
-96.1778030000 31.9303047633
-96.2686770000 31.8878389145
-96.2993770000 31.9126168394
48
46
-101.7684780000 32.2298593369
-102.1254120000 32.2327596344
-102.1377790000 32.2329165665
-102.1383130000 32.1810990449
-102.1384050000 32.1649796525
-102.3249210000 32.1662761825
-102.3429870000 32.1664202423
-102.3430790000 31.8029270992
-102.5590060000 31.8005994525
-102.5669330000 31.8004917565
-102.5668410000 31.5337487193
-102.3207470000 31.3331550352
-102.2627490000 31.3182669529
-102.2583920000 31.3033969387
-102.2461090000 31.3161809301
-102.2219540000 31.2888308921
-102.1869130000 31.2983941921
-102.1787950000 31.2719370932
-102.1410900000 31.2450308651
-102.0500410000 31.2250117274
-102.0347600000 31.2468574546
-101.9858700000 31.2393576741
-101.9739300000 31.2603163357
-101.9290010000 31.2220851430
-101.8498460000 31.2508426317
-101.8210910000 31.2288647927
-101.8250270000 31.2519570769
-101.8117900000 31.2528318144
-101.8075410000 31.2209225952
-101.7609250000 31.2215401612
-101.7584000000 31.8060133311
-101.7168880000 31.8645981611
-101.6592790000 31.8688216077
-101.6994930000 31.9357097645
-101.7406160000 31.9609249197
-101.7203830000 31.9845983745
-101.7292790000 32.0167948961
-101.7014920000 32.0022163481
-101.6756520000 32.0531044235
-101.6798020000 32.0775587224
-101.6463470000 32.1189822475
-101.6634140000 32.1543907212
-101.6527250000 32.1913407177
-101.6700210000 32.2118419705
-101.7114720000 32.2314042155
-101.7684780000 32.2298593369
48
5
-100.5402150000 38.1636930819
-100.5389790000 37.6286092312
-100.0003810000 37.6280672136
-100.0003890000 38.1634679635
-100.5402150000 38.1636930819
48
13
-100.8253710000 33.4486989214
-100.8613280000 33.4508462162
-100.8679120000 33.2914242552
-101.2676320000 33.2846386543
-101.2679440000 33.2520508623
-100.6935650000 33.2465018244
-100.6887660000 32.7345891592
-100.1152190000 32.7362449629
-100.1112370000 33.3125794405
-100.2269590000 33.3138483651
-100.2346120000 33.3139293608
-100.2357640000 33.4449544788
-100.8253710000 33.4486989214
48
40
-96.9385830000 30.3962766996
-96.9763790000 30.4429656655
-97.3059160000 30.1685924253
-97.2993620000 30.1460748904
-97.2340770000 30.1581038058
-97.2325440000 30.1700574347
-97.1863250000 30.1335540563
-97.1899260000 30.1093608943
-97.1592860000 30.0675207177
-97.1783750000 30.0242662259
-97.1677400000 30.0130969816
-97.1752010000 29.8606000961
-97.1533740000 29.8317550113
-97.1606140000 29.8144774783
-97.1043240000 29.8160223925
-97.0825960000 29.7908531306
-97.0799480000 29.8046790644
-97.0453800000 29.8103653939
-97.0513230000 29.7942701940
-97.0257800000 29.7987687550
-97.0225980000 29.7731535714
-96.9160540000 29.7375609008
-96.9162600000 29.7517459538
-96.8909910000 29.7618962300
-96.9054570000 29.7892595967
-96.8984680000 29.8216830738
-96.9302600000 29.8520631403
-96.8561400000 29.9058745889
-96.7275620000 29.9455142375
-96.6445310000 29.9944010463
-96.6593480000 30.0042081789
-96.6706620000 30.0519429560
-96.6977460000 30.0662372293
-96.6964720000 30.0920910661
-96.7229080000 30.1204330263
-96.7030560000 30.1544388306
-96.7395170000 30.2027136840
-96.7921300000 30.2326358220
-96.8327560000 30.3486661705
-96.9385830000 30.3962766996
48
32
-93.6003110000 32.8392441502
-93.5965120000 32.9022626535
-93.6182560000 32.9058225603
-93.6153490000 32.9394590497
-93.6878510000 32.9955949326
-93.6673970000 33.0467146418
-93.6395490000 33.0690724102
-93.6722340000 33.0631285553
-93.6747210000 33.0989136570
-93.7050250000 33.1148912764
-93.6932750000 33.1481451057
-93.7095870000 33.1508139579
-93.7050630000 33.1669433161
-93.7497790000 33.1840962530
-93.7523880000 33.1981584789
-93.7222440000 33.2103554869
-93.7113110000 33.2330304459
-93.7442320000 33.2381389112
-93.7477340000 33.2543984362
-93.7891690000 33.2527606432
-93.8349230000 33.3195557736
-93.8967210000 33.3495392336
-93.9844590000 33.2998475759
-93.9832310000 33.1799704402
-94.0371250000 33.1200586943
-94.0217440000 33.0625183767
-94.0472640000 32.9823801331
-94.0289990000 32.9263082869
-94.0488360000 32.8090698949
-94.0390320000 32.7902975231
-93.9111250000 32.8181061167
-93.6003110000 32.8392441502
48
37
-94.4577640000 32.6725925311
-94.4838100000 32.6692700087
-94.4909210000 32.6854704319
-94.5616680000 32.7024693524
-94.6579900000 32.6475494380
-94.6554720000 32.6337659492
-94.5457150000 32.0830555173
-94.0716860000 32.0819584587
-94.0956120000 32.1399674458
-94.0764620000 32.1876408727
-94.0532070000 32.2017355630
-94.0530780000 32.2241984507
-94.0741880000 32.2466158366
-94.0854570000 32.2335733586
-94.0893630000 32.2689562988
-94.1255110000 32.2652480837
-94.1328200000 32.3592669008
-94.1483610000 32.3873522031
-94.1802370000 32.3953926708
-94.1883470000 32.4268313580
-94.1803740000 32.4397228198
-94.2008060000 32.4738347207
-94.1899720000 32.4839645341
-94.1999130000 32.5069362280
-94.2155910000 32.5178766809
-94.1994320000 32.5499525628
-94.2436750000 32.5915883940
-94.2416150000 32.6243305993
-94.2333300000 32.6171356328
-94.2380290000 32.6489717524
-94.2781910000 32.6538980711
-94.2921750000 32.6833181757
-94.3233410000 32.6575935368
-94.3528290000 32.6794071053
-94.4499050000 32.6371679111
-94.4440840000 32.6728621184
-94.4577640000 32.6725925311
48
7
-97.5441820000 34.9851703483
-97.3984990000 34.9804168168
-97.3830950000 35.5066246322
-97.4870610000 35.5106663847
-97.9181900000 35.5107251009
-97.9216380000 34.9936442565
-97.5441820000 34.9851703483
48
7
-98.5756150000 34.9376935528
-98.4303280000 34.9353875476
-98.4265520000 35.0015452675
-98.4206700000 35.4655857123
-98.9539410000 35.4671895394
-98.9508740000 34.9407528119
-98.5756150000 34.9376935528
48
29
-98.9542310000 27.8183312132
-99.0137180000 27.6922435623
-99.1694180000 27.5788203276
-99.1679380000 27.5399186349
-99.1269230000 27.5259552271
-99.0915910000 27.4722773713
-99.1135640000 27.4233266889
-99.0820010000 27.3831089147
-99.0369420000 27.4013309155
-99.0094990000 27.3781756516
-98.9568180000 27.3825473683
-98.9420930000 27.3529440529
-98.9254300000 27.3803771206
-98.8961720000 27.3348226308
-98.8053510000 27.3515745617
-98.7882230000 27.3088664542
-98.7503050000 27.3095548766
-98.7362210000 27.2839451309
-98.7556920000 27.2786274636
-98.7006380000 27.2572652946
-98.7194140000 27.2445223971
-98.6798100000 27.2324085510
-98.6665880000 27.2036946865
-98.6226580000 27.2304069705
-98.6164400000 27.2158794341
-98.5867390000 27.2280151503
-98.3206710000 27.8154041664
-98.4226150000 27.8159127262
-98.9542310000 27.8183312132
48
18
-94.4522860000 33.6229284108
-94.4805150000 33.6908213363
-94.5106740000 33.7155958323
-94.5114290000 33.7757213974
-94.6002270000 33.7831283281
-94.6002660000 33.9047745563
-94.5798420000 34.0458705508
-94.5260850000 34.1359863451
-94.4918210000 34.2724171828
-94.5173420000 34.2648864847
-94.5266270000 34.2822520616
-94.5793150000 34.2733113330
-94.6014710000 34.2319549388
-94.9859770000 34.2429748018
-94.9852750000 33.9692309167
-94.9847870000 33.6251250575
-94.9370800000 33.6244222670
-94.4522860000 33.6229284108
48
27
-97.3155060000 32.3450220925
-97.6252900000 32.4824825765
-97.8285140000 32.5241491628
-97.9660110000 32.3769285098
-98.0498890000 32.1959261845
-98.0395890000 32.1894164112
-98.0076220000 32.1971301039
-97.9979860000 32.1829918366
-97.9625930000 32.1971301039
-97.9219210000 32.1752419336
-97.9190520000 32.1403147349
-97.9269940000 32.1302658497
-97.9031140000 32.1342321022
-97.8680110000 32.1058070871
-97.8483730000 32.0202164752
-97.7761840000 31.9712254878
-97.6922840000 32.0070667608
-97.6840360000 32.0245629234
-97.5767060000 32.0537659709
-97.5509640000 32.0248100703
-97.5165630000 32.0308218242
-97.4462810000 32.0069159436
-97.3695370000 31.9584224013
-97.3344650000 31.9390372960
-97.1552200000 32.0022453502
-97.2699580000 32.3216520081
-97.3155060000 32.3450220925
48
22
-98.9546430000 28.3613426853
-99.3354640000 28.3682157066
-99.3753130000 28.4139761045
-99.4537960000 28.3564590082
-99.4263990000 28.2560781511
-99.4420390000 28.1776098017
-99.4295350000 28.1601985118
-99.4523160000 28.1270563204
-99.4456630000 28.0830426874
-99.4127430000 28.0742815397
-99.3765950000 28.0336166766
-99.3935170000 28.0133486168
-99.3851620000 27.9918117554
-99.3242720000 27.9635562175
-99.3258820000 27.9210759848
-99.2672580000 27.8759180189
-99.2399440000 27.7735792872
-99.2090070000 27.7452144201
-99.1694180000 27.5788203276
-99.0137180000 27.6922435623
-98.9542310000 27.8183312132
-98.9546430000 28.3613426853
48
54
-98.4457860000 32.5419254419
-98.4187470000 32.5475464642
-98.4145050000 32.5660248620
-98.4470980000 32.5772719535
-98.4528960000 32.5970626421
-98.4425740000 32.6174319144
-98.4587480000 32.6470103868
-98.4396900000 32.6680049789
-98.4841840000 32.7089437036
-98.4560320000 32.7264541269
-98.4704590000 32.7446598170
-98.4571460000 32.7641579666
-98.4999470000 32.7714045140
-98.5278780000 32.7404943494
-98.5477140000 32.7830123580
-98.5046160000 32.8282182578
-98.5436940000 32.8384411888
-98.5360950000 32.8530216313
-98.5691530000 32.8660081886
-98.5627370000 32.9028707766
-98.5787890000 32.9425802755
-98.5943830000 32.9300140186
-98.6283720000 32.9535310011
-98.5986330000 32.9688533109
-98.5872730000 33.0135968078
-98.6294940000 32.9957447507
-98.6180500000 33.0109851304
-98.6467670000 33.0009850030
-98.6365510000 33.0453059418
