20
Wagoner County
-96.5206830000 39.0882888123
-96.5723420000 39.0439142593
-96.5668110000 39.0150531742
-96.5152280000 39.0025986774
-96.4834210000 39.0433742915
-96.4610750000 39.0464614582
-96.4249570000 38.9779748346
-96.3386080000 38.9173302145
-96.2524640000 38.9081086222
-96.2439650000 38.8769050141
-96.2682880000 38.8335635615
40
6
-98.2071610000 38.2939828544
-97.6739200000 38.2950249533
-97.6757130000 38.8368843505
-98.1038440000 38.8371494240
-98.2105410000 38.8371680039
-98.2071610000 38.2939828544
40
9
-98.6368640000 38.8371729586
-98.6321030000 38.4014857822
-98.6316990000 38.0804712762
-98.6231460000 38.0804479229
-98.3132480000 38.0803532810
-98.3133770000 38.2937328015
-98.2071610000 38.2939828544
-98.2105410000 38.8371680039
-98.6368640000 38.8371729586
40
7
-96.6248700000 37.9712755244
-96.6206510000 38.1879387652
-96.6210940000 38.5608818531
-97.1405180000 38.5612486942
-97.1409990000 38.2931230695
-97.1412350000 37.9729195053
-96.6248700000 37.9712755244
40
9
-94.9995650000 39.4657158344
-94.6180800000 39.4621963057
-94.6180650000 39.8737264291
-95.0076220000 39.8765687165
-95.0343170000 39.8695996289
-95.0373540000 39.8446097645
-94.9931870000 39.8134673634
-94.9992980000 39.8060737270
-94.9995650000 39.4657158344
40
6
-100.0029980000 39.3691557550
-100.0025630000 39.8793096635
-100.9455640000 39.8748633339
-100.9541470000 39.2526783364
-100.0036700000 39.2527019724
-100.0029980000 39.3691557550
40
30
-96.4907840000 37.2956822823
-96.4852520000 37.5463664529
-96.4414060000 37.5493139648
-96.4413910000 37.7595533215
-96.4414520000 37.9771713917
-96.4756090000 37.9721325028
-96.4975430000 37.9294178643
-96.5456700000 37.9650841376
-96.5698390000 37.9443483351
-96.5356520000 37.8835396492
-96.5874790000 37.9084466016
-96.6001660000 37.8907232787
-96.6237030000 37.8954635823
-96.6522670000 37.8841762920
-96.7197270000 37.9090883127
-96.7216640000 37.9244795843
-96.7401660000 37.9046135995
-96.7763750000 37.9083668482
-96.7756810000 37.2827289718
-96.7502980000 37.2744028154
-96.7288890000 37.2309507535
-96.6941830000 37.2443727088
-96.6875920000 37.2737334853
-96.7118760000 37.3008552954
-96.6975480000 37.3208937934
-96.6656110000 37.3175297775
-96.6351930000 37.2811743945
-96.5578920000 37.3008040761
-96.5270840000 37.2457024492
-96.4907840000 37.2956822823
40
15
-98.5335770000 39.2075405460
-98.5335620000 39.1389111110
-98.5335460000 39.1258356141
-98.5998150000 39.1177556334
-98.6970670000 39.1476576738
-98.7230450000 39.1818600076
-98.7853470000 39.1916522683
-98.8384630000 39.2531908643
-98.9603350000 39.2617474978
-98.9558640000 38.8330532526
-98.6368640000 38.8371729586
-98.2105410000 38.8371680039
-98.1038440000 38.8371494240
-98.1046220000 39.2073366263
-98.5335770000 39.2075405460
40
25
-100.0003970000 38.4860923578
-100.0003890000 37.9217025238
-99.5757140000 37.9209073393
-99.5757450000 37.9387293531
-99.5756000000 38.0280412475
-99.5584560000 38.0279896520
-99.3640980000 38.0278864612
-99.3639830000 38.0799685685
-99.3753740000 38.0806777681
-99.3760300000 38.4012564183
-99.3810200000 38.6491153490
-99.4455720000 38.6419810925
-99.4864120000 38.6152795509
-99.5577850000 38.4710658032
-99.6198120000 38.4381477500
-99.7112050000 38.4582192883
-99.7750780000 38.4940113533
-99.8091350000 38.5435443191
-99.8051680000 38.6171605199
-99.8249890000 38.6401787585
-99.8906710000 38.6167267321
-99.9105220000 38.5888114164
-99.9056020000 38.5549594756
-99.9242710000 38.5283385334
-100.0003970000 38.4860923578
40
13
-95.5145110000 37.0162802162
-95.0596160000 37.0157889313
-95.0595090000 37.2279480305
-95.0156100000 37.2280772042
-94.9977340000 37.2292678039
-94.9979630000 37.3341936194
-94.9278110000 37.3438643362
-94.9278640000 37.4759491687
-95.3494110000 37.4759540553
